home_listing_id,name,availability,address.addr1,address.city,address.region,address.country,address.postal_code,image[0].url,price,url,description,num_beds,num_baths,property_type,listing_type,year_built,size,status,mls_num,county
1231947,"318 Columbia  Avenue, Warwick",for_sale,318 Columbia  Avenue,Warwick,Rhode Island,United States,02888,https://t3.realgeeks.media/thumbnail/J_Ehu2VlRZo9yXUrWF_7j7B2RIU=/https://property-media.realgeeks.com/405/10af715d59ac9880b021f688a3ac47e1.jpg,"$319,900",https://www.alltownri.com/search/details/535/53/,"4BR | 3BA | 2,949 sqft",4,3,Single Family Residential,for_sale_by_agent,1959,"2,949",ACTIVE,1231947,Kent
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d780278c979ec0001be3c4e/,,,,,for_sale_by_agent,,,,,
1230729,"9 Meadowbrook  Road, Richmond",for_sale,9 Meadowbrook  Road,Richmond,Rhode Island,United States,02898,https://t3.realgeeks.media/thumbnail/hQZjlxOu9PXgZdW9RuTesxGQJeI=/https://property-media.realgeeks.com/405/bc127f7b7572387c0c66fd4b9638687a.jpg,"$319,900",https://www.alltownri.com/search/details/535/52/,"4BR | 2BA | 1,843 sqft",4,2,Single Family Residential,for_sale_by_agent,1970,"1,843",ACTIVE UNDER CONTRACT,1230729,Washington
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d808d7704f75200018e0df0/,,,,,for_sale_by_agent,,,,,
1234828,"22 Busby  Street, Pawtucket",for_sale,22 Busby  Street,Pawtucket,Rhode Island,United States,02860,http://u.realgeeks.media/alltownri/_rgg/landscape_images/Capehome.jpg,"$319,900",https://www.alltownri.com/search/details/535/51/,"3BR | 2BA | 1,300 sqft",3,2,Single Family Residential,for_sale_by_agent,2019,"1,300",ACTIVE,1234828,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d93a1e815aa42000100c75a/,,,,,for_sale_by_agent,,,,,
1235343,"72 Rutland  Street, Cranston",for_sale,72 Rutland  Street,Cranston,Rhode Island,United States,02920,https://t3.realgeeks.media/thumbnail/JZ96i2dMfnuT6Kw8nYBwm85U7dY=/https://property-media.realgeeks.com/405/e41cda170fbaa0b348a4303cab45ae6d.jpg,"$319,900",https://www.alltownri.com/search/details/535/50/,"4BR | 2BA | 2,040 sqft",4,2,Single Family Residential,for_sale_by_agent,1977,"2,040",ACTIVE UNDER CONTRACT,1235343,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d9b5256a227b70001ab9dce/,,,,,for_sale_by_agent,,,,,
1237797,"92 Clark  Avenue, Cranston",for_sale,92 Clark  Avenue,Cranston,Rhode Island,United States,02920,https://t3.realgeeks.media/thumbnail/kbg9P2adoQP8Cfb1lmQ4Vl9XHJA=/https://property-media.realgeeks.com/405/64540520b07e69d0c8ab349cded119aa.jpg,"$319,900",https://www.alltownri.com/search/details/535/49/,"3BR | 2BA | 2,098 sqft",3,2,Single Family Residential,for_sale_by_agent,1959,"2,098",ACTIVE,1237797,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d9de76d7fc09d00015b3025/,,,,,for_sale_by_agent,,,,,
